Anzsic,Anzsic_descriptor,Gas,Period,Data_value,Variable,Units,Magnitude
BB1,Mining,Carbon dioxide equivalents,2018.06,328,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2018.09,329,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2018.12,307,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2019.03,316,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2019.06,337,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2019.09,339,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2019.12,327,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2020.03,306,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2020.06,254,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2020.09,281,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2020.12,272,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2021.03,275,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2021.06,273,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2021.09,266,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2021.12,272,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2022.03,305,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2022.06,331,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2022.09,314,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2022.12,327,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2023.03,302,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2023.06,308,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2023.09,298,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2023.12,327,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2024.03,330,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
BB1,Mining,Carbon dioxide equivalents,2024.06,305,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2010.03,2510,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2010.06,2653,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2010.09,2505,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2010.12,2428,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2011.03,2520,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2011.06,2440,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2011.09,2408,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2011.12,2450,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2012.03,2445,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2012.06,2516,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2012.09,2596,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2012.12,2625,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2013.03,2534,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2013.06,2843,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2013.09,2760,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2013.12,2726,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2014.03,2776,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2014.06,2904,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2014.09,3031,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2014.12,3106,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2015.03,3025,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2015.06,2941,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2015.09,2931,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2015.12,2917,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2016.03,2941,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2016.06,2896,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2016.09,2952,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2016.12,2598,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2017.03,2908,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2017.06,2876,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2017.09,2727,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2017.12,2834,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2018.03,2690,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2018.06,2779,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2018.09,2950,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2018.12,2800,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2019.03,2930,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2019.06,2852,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2019.09,2846,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2019.12,2876,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2020.03,2595,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2020.06,2542,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2020.09,2591,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2020.12,2627,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2021.03,2578,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2021.06,2560,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2021.09,2447,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2021.12,2584,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2022.03,2597,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2022.06,2372,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2022.09,2194,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2022.12,2053,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2023.03,2145,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2023.06,2278,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2023.09,2234,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
CCZ,Manufacturing,Carbon dioxide equivalents,2023.12,2172,Seasonally adjusted,Kilotonnes,Carbon dioxide equivalents
